event_id,token_symbol,hour_offset,timestamp,price_normalized,return_from_t_minus_24h
1,APE,-24,2023-03-16 00:00:00,100.0,0.0
1,APE,-23,2023-03-16 01:00:00,100.6685,0.0067
1,APE,-22,2023-03-16 02:00:00,100.3808,0.0038
1,APE,-21,2023-03-16 03:00:00,101.2809,0.0128
1,APE,-20,2023-03-16 04:00:00,103.5397,0.0354
1,APE,-19,2023-03-16 05:00:00,103.0953,0.031
1,APE,-18,2023-03-16 06:00:00,102.653,0.0265
1,APE,-17,2023-03-16 07:00:00,105.0308,0.0503
1,APE,-16,2023-03-16 08:00:00,106.1632,0.0616
1,APE,-15,2023-03-16 09:00:00,105.3351,0.0534
1,APE,-14,2023-03-16 10:00:00,106.1122,0.0611
1,APE,-13,2023-03-16 11:00:00,105.2941,0.0529
1,APE,-12,2023-03-16 12:00:00,104.4787,0.0448
1,APE,-11,2023-03-16 13:00:00,104.776,0.0478
1,APE,-10,2023-03-16 14:00:00,101.7315,0.0173
1,APE,-9,2023-03-16 15:00:00,99.055,-0.0095
1,APE,-8,2023-03-16 16:00:00,98.1457,-0.0185
1,APE,-7,2023-03-16 17:00:00,96.5897,-0.0341
1,APE,-6,2023-03-16 18:00:00,96.9696,-0.0303
1,APE,-5,2023-03-16 19:00:00,95.5824,-0.0442
1,APE,-4,2023-03-16 20:00:00,93.5051,-0.0649
1,APE,-3,2023-03-16 21:00:00,95.5082,-0.0449
1,APE,-2,2023-03-16 22:00:00,95.1103,-0.0489
1,APE,-1,2023-03-16 23:00:00,95.1317,-0.0487
1,APE,0,2023-03-17 00:00:00,93.0468,-0.0695
1,APE,1,2023-03-17 01:00:00,92.2174,-0.0778
1,APE,2,2023-03-17 02:00:00,92.2982,-0.077
1,APE,3,2023-03-17 03:00:00,90.6469,-0.0935
1,APE,4,2023-03-17 04:00:00,91.0873,-0.0891
1,APE,5,2023-03-17 05:00:00,90.1992,-0.098
1,APE,6,2023-03-17 06:00:00,89.7347,-0.1027
1,APE,7,2023-03-17 07:00:00,88.8583,-0.1114
1,APE,8,2023-03-17 08:00:00,91.2898,-0.0871
1,APE,9,2023-03-17 09:00:00,91.1994,-0.088
1,APE,10,2023-03-17 10:00:00,89.6932,-0.1031
1,APE,11,2023-03-17 11:00:00,90.7351,-0.0926
1,APE,12,2023-03-17 12:00:00,89.0185,-0.1098
1,APE,13,2023-03-17 13:00:00,89.2274,-0.1077
